ID	parentID	nameID	provisional	accordingToID	accordingToDate	referenceID	extinct	temporalRangeStart	temporalRangeEnd	lifezone	link	remarks
323	f35a7655-4306b-31394-b89cc-8feaef976	323	0		2019	33	0			Terrestrial		
1271	b9437d17-cab66-d23a1-3ecf6-11e47e3b0	1271	0		2019	144	0			Terrestrial		
161	f08be9bf-b731c-ce7c3-e1785-d4212004d	161	0		2019	62	0			Terrestrial		
628	bccd6869-ed1de-feb4a-db664-fb175e8bd	628	0		2019	10	0			Terrestrial		
1319	c3c4dd8b-da826-04c46-9f09f-1d738ea89	1319	0		2019	8	0			Terrestrial		
650	640	650	0		2019	43	0			Terrestrial		
1361	1244	1361	0		2019	8	0			Terrestrial		
78	eab97acb-3abf1-ca2c5-7439f-d3f69762f	78	0		2019	22	0			Terrestrial		
162	adc5a748-ea928-6e3c8-86ef5-f4c8f0373	162	0		2019	27	0			Terrestrial		
1331	075430b1-83ca4-d7bf6-0bcfe-9e99c476a	1331	0		2019	18	0			Terrestrial		
145	58740837-268b1-95d2d-881f0-44ef79a11	145	0		2019	6	0			Terrestrial		
189	f35a7655-4306b-31394-b89cc-8feaef976	189	0		2019	6	0			Terrestrial		
599	77a24fb5-73808-00131-9c2e3-3987611b9	599	0		2019	12	0			Terrestrial		
740	7ce99f06-635dd-3d710-7864b-db47fb37d	740	0		2019	18	0			Terrestrial		
798	dde8e430-7487f-26e91-6d1eb-f1d324140	798	0		2019	110	0			Terrestrial		
134	0827460b-c960f-669e6-a9ee8-7f105c3d7	134	0		2019	25	0			Terrestrial		
225	f35a7655-4306b-31394-b89cc-8feaef976	225	0		2019	20	0			Terrestrial		
684	7ce99f06-635dd-3d710-7864b-db47fb37d	684	0		2019	10	0			Terrestrial		
756	7ce99f06-635dd-3d710-7864b-db47fb37d	756	0		2019	10	0			Terrestrial		
733	7ce99f06-635dd-3d710-7864b-db47fb37d	733	0		2019	49	0			Terrestrial		
784	7ce99f06-635dd-3d710-7864b-db47fb37d	784	0		2019	10	0			Terrestrial		
804	dde8e430-7487f-26e91-6d1eb-f1d324140	804	0		2019	109	0			Terrestrial		
1349	1205	1349	0		2019	33	0			Terrestrial		
374	b6f9f068-14049-0ec30-77638-09e6630ed	374	0		2019	27	0			Terrestrial		
668	7ce99f06-635dd-3d710-7864b-db47fb37d	668	0		2019	50	0			Terrestrial		
750	7ce99f06-635dd-3d710-7864b-db47fb37d	750	0		2019	10	0			Terrestrial		
71ea9aeb-63ac9-d81e8-5e227-225fab735	4e1c6780-ee556-78401-d9679-8b1ba0fd5	71ea9aeb-63ac9-d81e8-5e227-225fab735	false									
1033	80eae935-1372d-ed78b-e2c34-41fa94d85	1033	0		2019	131	0			Terrestrial		
e4f29b9e-01b70-f1d43-e6f26-73214bfe5	82bd691e-e0f7b-09b8e-fe86f-f6c86369e	e4f29b9e-01b70-f1d43-e6f26-73214bfe5	false									
1278	7006f9e3-2aa4e-3c91d-de563-7c57151bf	1278	0		2019	23	0			Terrestrial		
1112	1051	1112	0		2019	49	0			Terrestrial		
38	7e7a8932-a40d0-09e88-9e36f-54875330a	38	0		2019	3	0			Terrestrial		
95	2114efff-daaad-16c12-4ade6-fc2f4617f	95	0		2019	43	0			Terrestrial		
106	fa0889d7-bc581-0db76-5233e-f7d89d0a9	106	0		2019	29	0			Terrestrial		
297	f35a7655-4306b-31394-b89cc-8feaef976	297	0		2019	6	0			Terrestrial		
b6f9f068-14049-0ec30-77638-09e6630ed	d1734b8c-7b16d-2d726-61b0c-05822e35b	b6f9f068-14049-0ec30-77638-09e6630ed	false									
1237	0cde6156-9748a-28d2f-c2c5c-c6809f046	1237	0		2019		0			Terrestrial		
1354	1236	1354	0		2019	168	0			Terrestrial		
645	52f98d15-6d070-2fcf1-fcb43-c1b3d82f8	645	0		2019	6	0			Terrestrial		
1183	406a3ba9-9947c-3d495-50624-ba7fd6b2a	1183	0		2019		0			Terrestrial		
72e0d009-398ba-7362f-baee5-e48a6eca0	4b066f9e-abc04-d7836-1b8d7-d5f58598f	72e0d009-398ba-7362f-baee5-e48a6eca0	false									
1321	075430b1-83ca4-d7bf6-0bcfe-9e99c476a	1321	0		2019	21	0			Terrestrial		
394f3f4a-fd3c0-10dd5-6151f-c6b10c415	4b066f9e-abc04-d7836-1b8d7-d5f58598f	394f3f4a-fd3c0-10dd5-6151f-c6b10c415	false									
1308	c9cae5de-ea97a-37905-a97b5-b274bfe7a	1308	0		2019	20	0			Terrestrial		
418	329	418	0		2019	70	0			Terrestrial		
244	f35a7655-4306b-31394-b89cc-8feaef976	244	0		2019	70	0			Terrestrial		
720	7ce99f06-635dd-3d710-7864b-db47fb37d	720	0		2019	10	0			Terrestrial		
787	7ce99f06-635dd-3d710-7864b-db47fb37d	787	0		2019	20	0			Terrestrial		
997	5f819269-04a6d-9c6bd-ba546-98216dadd	997	0		2019	117	0			Terrestrial		
1195	406a3ba9-9947c-3d495-50624-ba7fd6b2a	1195	0		2019		0			Terrestrial		
775	7ce99f06-635dd-3d710-7864b-db47fb37d	775	0		2019	10	0			Terrestrial		
401	137	401	0		2019	57	0			Terrestrial		
670	7ce99f06-635dd-3d710-7864b-db47fb37d	670	0		2019	10	0			Terrestrial		
732	7ce99f06-635dd-3d710-7864b-db47fb37d	732	0		2019	10	0			Terrestrial		
1202	969ebf85-704d6-fe27a-78990-064e36cb9	1202	0		2019		0			Terrestrial		
66	a8010abb-2d3a2-c0773-329a0-3790a9aa5	66	0		2019	31	0			Terrestrial		
167	3a6f4776-f0f0d-84a51-7f992-5c085c827	167	0		2019	66	0			Terrestrial		
169	3a6f4776-f0f0d-84a51-7f992-5c085c827	169	0		2019	22	0			Terrestrial		
292	f35a7655-4306b-31394-b89cc-8feaef976	292	0		2019	6	0			Terrestrial		
c35441fc-f8070-23756-f3c58-45978e5b2	ddb1df26-680b3-4488c-943de-edd8a25f6	c35441fc-f8070-23756-f3c58-45978e5b2	false									
638	6c7399d9-283f8-38c4a-93f76-6d6eb1a99	638	0		2019	103	0			Terrestrial		
bd9d7711-03b0b-c4cb2-2de26-a199b6b36	82bd691e-e0f7b-09b8e-fe86f-f6c86369e	bd9d7711-03b0b-c4cb2-2de26-a199b6b36	false									
1365	1254	1365	0		2019	14	0			Terrestrial		
1213	b17522ca-36e49-15879-01600-3c9a5f3e5	1213	0		2019		0			Terrestrial		
45	29	45	0		2019	12	0			Terrestrial		
1338	1172	1338	0		2019	8	0			Terrestrial		
1369	1270	1369	0		2019	18	0			Terrestrial		
155	acd60744-38144-53fc4-f75a8-064b1d22b	155	0		2019	40	0			Terrestrial		
238	f35a7655-4306b-31394-b89cc-8feaef976	238	0		2019	6	0			Terrestrial		
969ebf85-704d6-fe27a-78990-064e36cb9	9245696b-0ec1c-a419b-aecc2-0802ac59e	969ebf85-704d6-fe27a-78990-064e36cb9	false									
826	715	826	0		2019	10	0			Terrestrial		
1343	1178	1343	0		2019	79	0			Terrestrial		
778	7ce99f06-635dd-3d710-7864b-db47fb37d	778	0		2019	10	0			Terrestrial		
417	305	417	0		2019	50	0			Terrestrial		
1375	1286	1375	0		2019	8	0			Terrestrial		
20	d5cc6683-cdf62-83703-166e9-e90e24e7b	20	0		2019	2	0			Terrestrial		
249	f35a7655-4306b-31394-b89cc-8feaef976	249	0		2019	6	0			Terrestrial		
59	a8010abb-2d3a2-c0773-329a0-3790a9aa5	59	0		2019	26	0			Terrestrial		
103	fa0889d7-bc581-0db76-5233e-f7d89d0a9	103	0		2019	20	0			Terrestrial		
118	b9a0faee-27c7e-94c8c-d97ff-2438f3615	118	0		2019	50	0			Terrestrial		
280	f35a7655-4306b-31394-b89cc-8feaef976	280	0		2019	20	0			Terrestrial		
389	0f7eb93e-d1622-3694e-179b2-8e361597a	389	0		2019	91	0			Terrestrial		
291	f35a7655-4306b-31394-b89cc-8feaef976	291	0		2019	79	0			Terrestrial		
348	e51f3d1e-a72bb-556ac-89f57-6f0aa5325	348	0		2019	69	0			Terrestrial		
779	7ce99f06-635dd-3d710-7864b-db47fb37d	779	0		2019	17	0			Terrestrial		
1261	b9437d17-cab66-d23a1-3ecf6-11e47e3b0	1261	0		2019		0			Terrestrial		
832	765	832	0		2019	10	0			Terrestrial		
1106	1045	1106	0		2019	127	0			Terrestrial		
b03e85ca-3a603-183ac-7a5e5-8c546bdd7	b725976c-58191-2a718-89626-4ba9f0303	b03e85ca-3a603-183ac-7a5e5-8c546bdd7	false									
72	eab97acb-3abf1-ca2c5-7439f-d3f69762f	72	0		2019	35	0			Terrestrial		
acd60744-38144-53fc4-f75a8-064b1d22b	e065a982-a38e7-db02d-ca9d6-a677fc085	acd60744-38144-53fc4-f75a8-064b1d22b	false									
350	e51f3d1e-a72bb-556ac-89f57-6f0aa5325	350	0		2019	69	0			Terrestrial		
1180	406a3ba9-9947c-3d495-50624-ba7fd6b2a	1180	0		2019		0			Terrestrial		
215	f35a7655-4306b-31394-b89cc-8feaef976	215	0		2019	10	0			Terrestrial		
1076	16c4b02f-2e34e-99a80-522d6-bc6527ca3	1076	0		2019	147	0			Terrestrial		
413	227	413	0		2019	2	0			Terrestrial		
1377	1287	1377	0		2019	8	0			Terrestrial		
8ca50825-e1038-7795c-1f3b5-e4528e99d	9245696b-0ec1c-a419b-aecc2-0802ac59e	8ca50825-e1038-7795c-1f3b5-e4528e99d	false									
1251	394f3f4a-fd3c0-10dd5-6151f-c6b10c415	1251	0		2019		0			Terrestrial		
98	43a9c281-b9182-d38b6-1ada7-a23a8984f	98	0		2019	45	0			Terrestrial		
672	7ce99f06-635dd-3d710-7864b-db47fb37d	672	0		2019	10	0			Terrestrial		
1295	7006f9e3-2aa4e-3c91d-de563-7c57151bf	1295	0		2019	23	0			Terrestrial		
75	eab97acb-3abf1-ca2c5-7439f-d3f69762f	75	0		2019	22	0			Terrestrial		
237	f35a7655-4306b-31394-b89cc-8feaef976	237	0		2019	75	0			Terrestrial		
1064	16c4b02f-2e34e-99a80-522d6-bc6527ca3	1064	0		2019	87	0			Terrestrial		
1236	0cde6156-9748a-28d2f-c2c5c-c6809f046	1236	0		2019		0			Terrestrial		
626	bccd6869-ed1de-feb4a-db664-fb175e8bd	626	0		2019	10	0			Terrestrial		
1201	969ebf85-704d6-fe27a-78990-064e36cb9	1201	0		2019		0			Terrestrial		
1376	1286	1376	0		2019	21	0			Terrestrial		
84	eab97acb-3abf1-ca2c5-7439f-d3f69762f	84	0		2019	22	0			Terrestrial		
d09e82a3-ccab1-29646-e1e32-b39b70f7b	e764f3aa-700f3-5d902-883eb-f09919bb2	d09e82a3-ccab1-29646-e1e32-b39b70f7b	false									
285	f35a7655-4306b-31394-b89cc-8feaef976	285	0		2019	30	0			Terrestrial		
651	642	651	0		2019	10	0			Terrestrial		
823	675	823	0		2019	33	0			Terrestrial		
a6e076b9-e1b6a-e8bfb-78a18-c84ca573b	b725976c-58191-2a718-89626-4ba9f0303	a6e076b9-e1b6a-e8bfb-78a18-c84ca573b	false									
386	6ec71731-98dcc-5be3f-a9515-b20c961f2	386	0		2019	61	0			Terrestrial		
780	7ce99f06-635dd-3d710-7864b-db47fb37d	780	0		2019	6	0			Terrestrial		
65	a8010abb-2d3a2-c0773-329a0-3790a9aa5	65	0		2019	29	0			Terrestrial		
199	f35a7655-4306b-31394-b89cc-8feaef976	199	0		2019	7	0			Terrestrial		
639	6c7399d9-283f8-38c4a-93f76-6d6eb1a99	639	0		2019	103	0			Terrestrial		
697	7ce99f06-635dd-3d710-7864b-db47fb37d	697	0		2019	33	0			Terrestrial		
728	7ce99f06-635dd-3d710-7864b-db47fb37d	728	0		2019	10	0			Terrestrial		
591	77a24fb5-73808-00131-9c2e3-3987611b9	591	0		2019	12	0			Terrestrial		
1302	c9cae5de-ea97a-37905-a97b5-b274bfe7a	1302	0		2019	165	0			Terrestrial		
1380	1310	1380	0		2019	14,21	0			Terrestrial		
196	f35a7655-4306b-31394-b89cc-8feaef976	196	0		2019	6	0			Terrestrial		
613	d82237fb-a4538-3ec1e-98b7c-7b8f20a54	613	0		2019	79	0			Terrestrial		
300	f35a7655-4306b-31394-b89cc-8feaef976	300	0		2019	80	0			Terrestrial		
661	77dcb8f6-f3fdf-3e709-2ce62-a82cd8f9b	661	0		2019	10	0			Terrestrial		
1015	80eae935-1372d-ed78b-e2c34-41fa94d85	1015	0		2019	67	0			Terrestrial		
1322	075430b1-83ca4-d7bf6-0bcfe-9e99c476a	1322	0		2019	9	0			Terrestrial		
5ef4daeb-61f70-8bbd4-9e276-a93edeeaa	d1734b8c-7b16d-2d726-61b0c-05822e35b	5ef4daeb-61f70-8bbd4-9e276-a93edeeaa	false									
667	7ce99f06-635dd-3d710-7864b-db47fb37d	667	0		2019	10	0			Terrestrial		
5dbe153c-ad5e4-b22fd-36122-98c88b8b3	82bd691e-e0f7b-09b8e-fe86f-f6c86369e	5dbe153c-ad5e4-b22fd-36122-98c88b8b3	false									
075430b1-83ca4-d7bf6-0bcfe-9e99c476a	9245696b-0ec1c-a419b-aecc2-0802ac59e	075430b1-83ca4-d7bf6-0bcfe-9e99c476a	false									
396	131	396	0		2019	22	0			Terrestrial		
1172	2646b4b8-2dea4-3329e-a87f9-832f65e51	1172	0		2019		0			Terrestrial		
1250	394f3f4a-fd3c0-10dd5-6151f-c6b10c415	1250	0		2019		0			Terrestrial		
410	227	410	0		2019	17	0			Terrestrial		
2114efff-daaad-16c12-4ade6-fc2f4617f	e764f3aa-700f3-5d902-883eb-f09919bb2	2114efff-daaad-16c12-4ade6-fc2f4617f	false									
140	58740837-268b1-95d2d-881f0-44ef79a11	140	0		2019	6	0			Terrestrial		
220	f35a7655-4306b-31394-b89cc-8feaef976	220	0		2019	6	0			Terrestrial		
362	e51f3d1e-a72bb-556ac-89f57-6f0aa5325	362	0		2019	69	0			Terrestrial		
802	dde8e430-7487f-26e91-6d1eb-f1d324140	802	0		2019	10	0			Terrestrial		
1282	7006f9e3-2aa4e-3c91d-de563-7c57151bf	1282	0		2019	112	0			Terrestrial		
137	0827460b-c960f-669e6-a9ee8-7f105c3d7	137	0		2019	58	0			Terrestrial		
365	e51f3d1e-a72bb-556ac-89f57-6f0aa5325	365	0		2019	83	0			Terrestrial		
632	6c7399d9-283f8-38c4a-93f76-6d6eb1a99	632	0		2019	43	0			Terrestrial		
704	7ce99f06-635dd-3d710-7864b-db47fb37d	704	0		2019	16	0			Terrestrial		
1170	934542e7-beb71-e413e-cbe3e-24d8661b0	1170	0		2019		0			Terrestrial		
1293	7006f9e3-2aa4e-3c91d-de563-7c57151bf	1293	0		2019	112	0			Terrestrial		
1	7b8abb0e-8584c-ce81e-8a88a-9e9b6c657	1	0		2019	10	0			Terrestrial		
63f3fb75-7496a-d554b-31679-c98a4ffae	b725976c-58191-2a718-89626-4ba9f0303	63f3fb75-7496a-d554b-31679-c98a4ffae	false									
37	7e7a8932-a40d0-09e88-9e36f-54875330a	37	0		2019	15	0			Terrestrial		
193	f35a7655-4306b-31394-b89cc-8feaef976	193	0		2019	6	0			Terrestrial		
703	7ce99f06-635dd-3d710-7864b-db47fb37d	703	0		2019	10	0			Terrestrial		
264	f35a7655-4306b-31394-b89cc-8feaef976	264	0		2019	54	0			Terrestrial		
762	7ce99f06-635dd-3d710-7864b-db47fb37d	762	0		2019	108	0			Terrestrial		
646	607	646	0		2019	12	0			Terrestrial		
1355	1238	1355	0		2019	8	0			Terrestrial		
1379	1308	1379	0		2019	21	0			Terrestrial		
822	666	822	0		2019	10	0			Terrestrial		
163	e065a982-a38e7-db02d-ca9d6-a677fc085	163	0		2019	63	0			Terrestrial		
226	f35a7655-4306b-31394-b89cc-8feaef976	226	0		2019	7	0			Terrestrial		
301	f35a7655-4306b-31394-b89cc-8feaef976	301	0		2019	17	0			Terrestrial		
332	f35a7655-4306b-31394-b89cc-8feaef976	332	0		2019	28	0			Terrestrial		
721	7ce99f06-635dd-3d710-7864b-db47fb37d	721	0		2019	71	0			Terrestrial		
248	f35a7655-4306b-31394-b89cc-8feaef976	248	0		2019	16	0			Terrestrial		
360	e51f3d1e-a72bb-556ac-89f57-6f0aa5325	360	0		2019	69	0			Terrestrial		
759	7ce99f06-635dd-3d710-7864b-db47fb37d	759	0		2019	10	0			Terrestrial		
1000	8554ed7e-e0bbb-d2f22-0cd01-f6cb9b8b9	1000	0		2019	118	0			Terrestrial		
1198	bb6fd331-b9a1c-55319-9241c-9fcb419cf	1198	0		2019		0			Terrestrial		
87	eab97acb-3abf1-ca2c5-7439f-d3f69762f	87	0		2019	22	0			Terrestrial		
1225	b17522ca-36e49-15879-01600-3c9a5f3e5	1225	0		2019		0			Terrestrial		
398	135	398	0		2019	57	0			Terrestrial		
1341	1177	1341	0		2019	8	0			Terrestrial		
242	f35a7655-4306b-31394-b89cc-8feaef976	242	0		2019	73	0			Terrestrial		
1005	8554ed7e-e0bbb-d2f22-0cd01-f6cb9b8b9	1005	0		2019	118	0			Terrestrial		
1028	80eae935-1372d-ed78b-e2c34-41fa94d85	1028	0		2019	133	0			Terrestrial		
1072	16c4b02f-2e34e-99a80-522d6-bc6527ca3	1072	0		2019	65	0			Terrestrial		
1182	406a3ba9-9947c-3d495-50624-ba7fd6b2a	1182	0		2019		0			Terrestrial		
12	63f3fb75-7496a-d554b-31679-c98a4ffae	12	0		2019	11	0			Terrestrial		
33	7e7a8932-a40d0-09e88-9e36f-54875330a	33	0		2019	14	0			Terrestrial		
610	d97d614f-b2f4e-d6f3b-b31ac-a9443eb53	610	0		2019	76	0			Terrestrial		
43	2	43	0		2019	15	0			Terrestrial		
223	f35a7655-4306b-31394-b89cc-8feaef976	223	0		2019	6	0			Terrestrial		
294	f35a7655-4306b-31394-b89cc-8feaef976	294	0		2019	6	0			Terrestrial		
741	7ce99f06-635dd-3d710-7864b-db47fb37d	741	0		2019	10	0			Terrestrial		
1218	b17522ca-36e49-15879-01600-3c9a5f3e5	1218	0		2019		0			Terrestrial		
1315	72e0d009-398ba-7362f-baee5-e48a6eca0	1315	0		2019	21	0			Terrestrial		
123	b9a0faee-27c7e-94c8c-d97ff-2438f3615	123	0		2019	50	0			Terrestrial		
263	f35a7655-4306b-31394-b89cc-8feaef976	263	0		2019	6	0			Terrestrial		
388	0f7eb93e-d1622-3694e-179b2-8e361597a	388	0		2019	37	0			Terrestrial		
758	7ce99f06-635dd-3d710-7864b-db47fb37d	758	0		2019	73	0			Terrestrial		
789	7ce99f06-635dd-3d710-7864b-db47fb37d	789	0		2019	20	0			Terrestrial		
266	f35a7655-4306b-31394-b89cc-8feaef976	266	0		2019	6	0			Terrestrial		
1301	c9cae5de-ea97a-37905-a97b5-b274bfe7a	1301	0		2019	165	0			Terrestrial		
715	7ce99f06-635dd-3d710-7864b-db47fb37d	715	0		2019	20	0			Terrestrial		
1258	394f3f4a-fd3c0-10dd5-6151f-c6b10c415	1258	0		2019		0			Terrestrial		
25	d5cc6683-cdf62-83703-166e9-e90e24e7b	25	0		2019	15	0			Terrestrial		
93073505-ccf2d-1fef2-72bdb-cd80e47c7	b725976c-58191-2a718-89626-4ba9f0303	93073505-ccf2d-1fef2-72bdb-cd80e47c7	false									
64	a8010abb-2d3a2-c0773-329a0-3790a9aa5	64	0		2019	30	0			Terrestrial		
102	fa0889d7-bc581-0db76-5233e-f7d89d0a9	102	0		2019	28	0			Terrestrial		
368	e51f3d1e-a72bb-556ac-89f57-6f0aa5325	368	0		2019	83	0			Terrestrial		
434	376	434	0		2019	69	0			Terrestrial		
233	f35a7655-4306b-31394-b89cc-8feaef976	233	0		2019	10	0			Terrestrial		
312	f35a7655-4306b-31394-b89cc-8feaef976	312	0		2019	6	0			Terrestrial		
1175	feeccf2f-e2986-388df-ee099-6bb349c4c	1175	0		2019		0			Terrestrial		
1240	0cde6156-9748a-28d2f-c2c5c-c6809f046	1240	0		2019		0			Terrestrial		
1252	394f3f4a-fd3c0-10dd5-6151f-c6b10c415	1252	0		2019		0			Terrestrial		
229	f35a7655-4306b-31394-b89cc-8feaef976	229	0		2019	73	0			Terrestrial		
344	b4590ab6-d44a0-9c323-3286d-3f8859fc8	344	0		2019	69	0			Terrestrial		
719	7ce99f06-635dd-3d710-7864b-db47fb37d	719	0		2019	10	0			Terrestrial		
1196	8ca50825-e1038-7795c-1f3b5-e4528e99d	1196	0		2019		0			Terrestrial		
729	7ce99f06-635dd-3d710-7864b-db47fb37d	729	0		2019	10	0			Terrestrial		
139	58740837-268b1-95d2d-881f0-44ef79a11	139	0		2019	44	0			Terrestrial		
268	f35a7655-4306b-31394-b89cc-8feaef976	268	0		2019	6	0			Terrestrial		
317	f35a7655-4306b-31394-b89cc-8feaef976	317	0		2019	6	0			Terrestrial		
696	7ce99f06-635dd-3d710-7864b-db47fb37d	696	0		2019	10	0			Terrestrial		
712	7ce99f06-635dd-3d710-7864b-db47fb37d	712	0		2019	6	0			Terrestrial		
211	f35a7655-4306b-31394-b89cc-8feaef976	211	0		2019	6	0			Terrestrial		
b17522ca-36e49-15879-01600-3c9a5f3e5	4b066f9e-abc04-d7836-1b8d7-d5f58598f	b17522ca-36e49-15879-01600-3c9a5f3e5	false									
